author.name,paper.ID,species,red.list,published.year,title,year,locality,country,lat,lon,protected,mean.temp,egg.diameter,egg.volume,egg.mass,hatchling.length,hatchling.mass,clutch.size,clutch.mass,clutch.freq,pred.freq,tot.clutch,pred.clutch,length,mass,pred.mass,notes,og.author,og.title
Hirth,1,Dermochelys_coriacea,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,,Sri Lanka,6.3306,80.0255,,,52,73.62211445,,59,,110,,,6.601607228,,726.176795,147,,341.5130353,book,Pritchard (1971)b,"The Leatherback Or Leathery Turtle, Dermochelys Coriacea"
Hirth,1,Dermochelys_coriacea,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Bigi Santi,Surinam,5.86587,-56.199971,,27,53,77.95174907,,58.3,,85,,,7.192708198,,611.3801968,157,,422.8519585,surface temperature,Schulz 1975,Sea turtle nesting in Surinam
Hirth,1,Dermochelys_coriacea,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Matura Bay,Trinidad,10.641045,-61.032328,,,57,96.96674615,,67,57.5,90,,,6.895684608,,620.6116147,152,,380.6807844,,Pritchard (1971)b,"The Leatherback Or Leathery Turtle, Dermochelys Coriacea"
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Tortuguero,Costa Rica,10.543741,-83.50193,,,38.3,29.4167424,,42.4,,161.1,,2.1,2.1,338.31,338.31,83.1,,63.12091597,,Carr & Stancyk (1975),Observations on the ecology and survival outlook of the hawksbill turtle
Hirth,1,Eretmochelys_imbricata,Critically endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Shelly Beach,Guyana,8.269029,-59.520264,,,38,28.73088775,,,,158,,,2.213873237,,349.7919714,84.1,,64.6792241,,Pritchard (1969),
Hirth,1,Eretmochelys_imbricata,Critically endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Palau Island,Micronesia,7.424234,134.462933,,,34.5,21.50084561,23,41,13,104.5,,,,,,,,,,Fukada (1965),
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Cousin Island,Seychelles,-4.333301,55.664388,,27,,,,,,182,,,2.241323408,,407.9208603,85.5,,66.89339529,,Diamond (1976),"Breeding biology and conservation of Hawksbill turtles, Eretmochelys imbricata L., on Cousin Island, Seychelles"
Hirth,1,Eretmochelys_imbricata,Critically endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Jabal Azis Island,South Yemen,12.655438,44.963242,,,40.5,34.78270273,,42,,81.2,,,1.920182366,,155.9188081,69.5,,43.84593592,,NA,
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,1978,Seil Ada Kebir,Sudan,19.217204,37.812512,,,40,33.51029333,,42,15.4,73.2,,,1.847534736,,135.2395427,66,,39.46180089,,Hirth & Latif (1980),"A nesting colony of the hawksbill turtle eretmochelys imbricata on Seil Ada Kebir Island, Suakin Archipelago, Sudan"
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Playa Nancite,Costa Rica,10.853663,-85.836581,,,,,,,,98,,,1.96180814,,192.2571977,63.3,,30.99707045,,Hughes & Richard (1974),"The nesting of the Pacific ridley turtle Lepidochelys olivacea on Playa Nancite, Costa Rica"
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Playa Naranjo,Costa Rica,10.853663,-85.836581,,,,,,,,105,,,2.020783018,,212.1822169,65.2,,32.68316072,,Cornelius (1976),"Marine turtle nesting activity at Playa Naranjo, Costa Rica"
Hirth,1,Lepidochelys_olivacea,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Coromandel coast,India,10.257173,79.335901,,,,,,47.7,,114.7,,,2.076656336,,238.1924817,67,,34.3167837,,NA,
Hirth,1,Lepidochelys_olivacea,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,"Playa ""La Escobilla""",Mexico,23.488056,-106.793594,,,38.8,30.58393995,,40.3,,100,,,1.949392711,,194.9392711,62.9,,30.64713713,,NA,
Hirth,1,Lepidochelys_olivacea,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,,Sri Lanka,6.988241,81.947477,,,40.5,34.78270273,35.7,42.8,17,112.5,,,1.968015898,,221.4017885,63.5,,31.17269481,,NA,
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Eilanti beach,Surinam,5.86587,-56.199971,,27,40,33.51029333,,42,,116,,1.42,1.42,164.72,164.72,68.5,,35.70494917,surface temperature,Schulz 1975,Sea turtle nesting in Surinam
Hirth,1,Lepidochelys_olivacea,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Honduras coast,,15.841884,-84.271435,,,37.5,27.61163086,,,,95,,,,,,66.6,,33.95071697,,NA,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Heron Island,Australia,-23.440877,151.915307,,,40.4,34.52568873,36.5,43.3,20.9,127,,3.5,3.22272004,444.5,444.5,95.8,,104.6939751,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Cephalonia,Greece,38.059561,20.768163,,,38.8,30.58393995,31.4,41.4,,102.3,,,2.671898863,,273.3352537,77,,67.78301304,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Kiparissia Bay,Greece,37.255514,21.656026,,,,,,,,117.7,,,2.852519693,,335.7415679,83.1,,78.88789434,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Zakynthos,Greece,37.79393,20.90257,,,37.5,27.61163086,,40.4,,100.2,,,2.772813519,,277.8359146,80.4,,73.86927963,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Sicily,Italy,36.956266,14.368952,,,41.1,36.35161592,25.5,41.8,20.1,,,,,,,,,,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Quintana Roo,Mexico,19.983513,-87.449688,,,,,,,,107.6,,,,,,,,,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Dalyankoy Beach,Turkey,38.361439,26.319304,,,39,31.05932954,20.3,39.9,16.1,93,,,2.462096616,,228.9749853,70,,56.07243632,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Cape Lookout,USA,45.345554,-123.988522,,,,,,,,119.5,,,3.127235443,,373.7046355,92.5,,97.63968619,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Everglades,USA,25.637219,-80.246666,,,41,36.08692073,,,,100,,,3.112726255,,311.2726255,92,,96.59221011,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Kiwah Island,USA,32.602513,-80.058962,,,42.1,39.07010182,,45.2,,122.3,,,3.162012205,,386.7140927,93.7,,100.1765596,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Little Cumberland Island,USA,30.974733,-81.407866,,,42,38.79235332,,45,,119.8,,2.99,3.225606146,358.202,358.202,95.9,,104.9115625,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Melbourne Beach,USA,28.064194,-80.552224,,,,,,,,113.5,,,3.112726255,,353.2944299,92,,96.59221011,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Merritt Island,USA,28.320129,-80.655589,,,42.2,39.34917292,41.8,45.8,21,110,,,3.121433107,,343.3576418,92.3,,97.22002129,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Sanibel Island,USA,26.441439,-82.137684,,,41.1,36.35161592,,46.7,19.6,108,,,3.06622123,,331.1518928,90.4,,93.27805966,,,
Buskirk,2,Caretta_caretta,Vulnerable,1994,Life-History Variation in Marine Turtles,,Topsail Island,USA,34.467027,-77.469421,,,,,,,,128.4,,,,,,,,,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Mayotte Island,Comoro Archipelago,-12.807446,45.094615,,,44.7,46.76498775,53,,,121.6,,,3.188597882,,,110.8,,142.1484361,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Moheli Island,Comoro Archipelago,-12.366242,43.735219,,,43.8,43.99674901,,49.2,22.7,122.4,,,3.189245396,,,112.3,,147.0083746,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Playa Naranjo,Costa Rica,10.778233,-85.667499,,,,,,51.2,,87,,,3.174661143,,,82.9,,68.83019684,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Shell Beach,Guyana,8.27216,-59.525315,,,47,54.36154976,,,,122,,,3.185503581,,,103.9,,121.0407355,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Ogasawara,Japan,27.102676,142.179613,,,46,50.96496737,,,,110.7,,,,,,,,,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,El Cuyo,Mexico,21.519228,-87.677049,,,,,,51.4,,113,,,3.18736575,,,108,,133.3374281,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Michoacan,Mexico,18.167014,-102.993004,,,,,,,,64,,2.2,2.2,140.8,140.8,77,,57.22944024,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Quintana Roo,Mexico,18.733038,-87.670901,,,,,,,,116,,,,,,,,,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Primerias Island,Mozambique,-16.753773,39.4084,,,43.8,43.99674901,44.9,,,115,,,,,,,,,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Marisah Island,Oman,20.339577,58.810988,,,,,,,,97,,,3.180280184,,308.4871778,93.2,,92.2427976,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Ras al hadd,Oman,22.521825,59.80031,,,,,,,,103.5,,,3.1822494,,329.3628129,97.1,,102.1976148,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Europa Island,South Africa,-22.38721,40.336837,,,43.5,43.09888416,46.9,50.4,25.2,141.2,,,3.187676707,,450.0999511,108.7,,135.5085023,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Bigi Santi,Surinam,5.86587,-56.199971,,,45,47.71289813,,51,,138,,2.96,2.96,408.48,408.48,109,,136.4454098,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Maziwi Island,Tanzania,-5.500129,39.066668,,,42.5,40.19435331,,48,25,138,,,3.189502019,,440.1512787,112.9,,148.9798525,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Melbourne Beach,USA,28.064194,-80.552224,,,,,,,,134,,3.6,3.6,482.4,482.4,101.5,,114.171522,,,
Buskirk,2,Chelonia_mydas,Endangered,1994,Life-History Variation in Marine Turtles,,Acsension Island,,-7.909956,-14.339189,,,54.6,85.22680024,,51.7,,121.4,,3,3,364.2,364.2,109.8,,138.9627933,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Life-History Variation in Marine Turtles,,Wreck Rock,Australia,-24.310483,151.966758,,,53.2,78.83755598,81.95,58.8,46.9,92.8,,,7.516727133,,697.5522779,162.4,,471.912825,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Life-History Variation in Marine Turtles,,Playa Langosta,Costa Rica,10.290045,-85.853219,,,,,,,,64,,,6.718880274,,430.0083376,149,,356.8275932,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Life-History Variation in Marine Turtles,,Oaxaca,Mexico,15.879148,-97.145819,,,53,77.95174907,66,,,60.1,,,6.777696306,,407.339548,150,,364.6601621,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Life-History Variation in Marine Turtles,,Culebra Island,Puerto Rico,18.332679,-65.297324,,,53.8,81.53518904,,59.3,,75.1,,6.61,6.61,496.411,496.411,147,,341.5130353,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Life-History Variation in Marine Turtles,,,Sri Lanka,6.335702,81.598571,,,52.5,75.76631508,72,59,33.1,97,,,6.866143174,,666.0158879,151.5,,376.6308862,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Life-History Variation in Marine Turtles,,St Croix,Virgin Islands,17.678941,-64.857291,,,,,84,,46.1,79.67,,5.28,5.28,420.6576,420.6576,153.6,,393.8428903,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Pasture Bay Beach,Antigua,17.174263,-61.815659,,,,,,,,150.6,,4.52,4.52,680.712,680.712,,,,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Campbell Island,Australia,-9.567155,143.492875,,,36,24.42900384,26,41.1,14.3,131.8,,3,3,395.4,395.4,83.2,,63.27587549,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Milman Island,Australia,-11.170162,143.014424,,,38.4,29.64776288,25.7,39.6,,124.1,,,2.166544241,,268.8681404,81.7,,60.97180529,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Raine Island,Australia,-11.58883,144.036857,,,36.4,25.25238526,26.4,41.2,14.6,111.7,,,2.180384518,,243.5489507,82.4,,62.04161929,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,,Barbados,13.208873,-59.505375,,,,,,42.1,16.7,134.6,,,2.213873237,,297.9873376,84.1,,64.6792241,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,El Cuyo,Mexico,21.518807,-87.676615,,,,,,43,,158,,,2.443724637,,386.1084926,96,,84.71207408,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Masirah Island,Oman,20.353809,58.631177,,,,,,,,97,,,1.998014453,,193.807402,73.3,,48.87251726,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Mona Island,Puerto Rico,18.057985,-67.871371,,,38,28.73088775,,,,148.4,,,2.288117461,,339.5566312,87.9,,70.77750411,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Cousin Island,Seychelles,-4.329995,55.659796,,,40,33.51029333,29.8,40.5,,167.5,,2.76,2.76,462.3,462.3,89.5,,73.42898577,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,,Solomon Island,-9.39885,160.227736,,,,,,40,,137.5,,,2.14274783,,294.6278266,80.5,,59.15989112,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,,Sri Lanka,6.486406,81.700732,,,36.7,25.88191748,,,,126.5,,,1.989870648,,251.718637,72.9,,48.33031324,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Life-History Variation in Marine Turtles,,Buck Island,Virgin Islands,17.790496,-64.622066,,,,,,,,147.2,,3.1,3.1,456.32,456.32,90.1,,74.43610315,,,
Buskirk,2,Lepidochelys_kempii,Critically endangered,,Life-History Variation in Marine Turtles,,Rancho Nuevo,Mexico,23.199581,-97.766537,,,38.9,30.8210237,30,42,17.3,110,,1.8,1.8,198,198,64.6,,43.19906598,,,
Buskirk,2,Lepidochelys_olivacea,Vulnerable,,Life-History Variation in Marine Turtles,,Coberg Peninsula,Australia,-11.349154,132.224601,,,38.8,30.58393995,,44,,108,,,,,,,,,,,
Buskirk,2,Lepidochelys_olivacea,Vulnerable,,Life-History Variation in Marine Turtles,,Playa Nancite,Costa Rica,10.853685,-85.836364,,,,,,,,110.5,,,1.949392711,,215.4078946,62.9,,30.64713713,,,
Buskirk,2,Lepidochelys_olivacea,Vulnerable,,Life-History Variation in Marine Turtles,,Playa Ostional,Costa Rica,9.998091,-85.70629,,,,,,,,108.2,,,,,,,,,,,
Buskirk,2,Lepidochelys_olivacea,Vulnerable,,Life-History Variation in Marine Turtles,,,Honduras,15.792162,-86.363558,,,37.5,27.61163086,,,,102,,,2.064239846,,210.5524643,66.6,,33.95071697,,,
Buskirk,2,Lepidochelys_olivacea,Vulnerable,,Life-History Variation in Marine Turtles,,Hiwasa,Japan,33.716847,134.541944,,,40,33.51029333,,42.7,,113.7,,,,,,,,,,,
Buskirk,2,Lepidochelys_olivacea,Vulnerable,,Life-History Variation in Marine Turtles,,,Mexico,,,,,38.8,30.58393995,,40.3,,100,,3,3,300,300,62.9,,30.64713713,,,
Buskirk,2,Lepidochelys_olivacea,Vulnerable,,Life-History Variation in Marine Turtles,,Marisah Island,Oman,20.29426,58.78358,,,,,,41.9,,118,,,2.216349353,,261.5292237,71.5,,38.55393639,,,
Buskirk,2,Natator_depressus,Data deficient,,Life-History Variation in Marine Turtles,,Coberg Peninsula,Australia,-11.349154,132.224601,,,52.1,74.04767476,64.6,,35.2,,,,,,,,,,,,
Buskirk,2,Natator_depressus,Data deficient,,Life-History Variation in Marine Turtles,,Crab Island,Australia,-10.989734,142.10795,,,50.6,67.83437157,72.7,59.7,39.3,53,,,2.769035047,,146.7588575,89.3,,67.80694547,,,
Buskirk,2,Natator_depressus,Data deficient,,Life-History Variation in Marine Turtles,,Curtis Island,Australia,-23.600813,151.234519,,,51.4,71.10294883,,62.1,,56.2,,,2.911892294,,163.6483469,93.9,,75.65083429,,,
