author,study_ID,species,red_list,sample_year,location,pop_ID,population_level,country,lat,lon,MPA,MPA2,air_temp,sand_temp,temp,egg_diameter_mm,egg_volume_cm3,egg_mass_g,hatchling_length_mm,hatchling_mass_g,clutch_size,clutch_mass_g,clutch_freq,pred_freq,total_clutch,pred_clutch,adult_length_cm,adult_mass_kg,pred_mass_kg,pub_year,notes,title,orig_author,orig_title,link
Hirth,1,Chelonia_mydas,Endangered,,Pangumbahan,CM_9,between population,Indonesia,-7.330866,106.396023,no,no,28.2,,28.2,45,47.71289813,,,,107,,,,,,,,,1980,book,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Suwelo (1971),,
Hirth,1,Chelonia_mydas,Endangered,,Pulau Berhala,CM_9,between population,Indonesia,-0.862547,104.405938,no,no,26.7,,26.7,,,,,,118,,,,,,,,,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Chelonia_mydas,Endangered,,Sabah Island,CM_13,between population,Malaysia,6.060712,117.997116,no,no,30.5,,30.5,,39.96547,40.3,49,22.1,,,,,,,,,,1980,report,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,de Silva (1970),,
Hirth,1,Chelonia_mydas,Endangered,,Sarawak,CM_13,between population,Malaysia,1.789971,110.165511,no,no,27,29,29,40,33.51029333,36,50,21.2,104.7,,4.1,4.1,429.27,429.27,97.5,120,120,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Hendrickson (1958),"The green sea turtle, Chelonia mydas (Linn.) in Malaya and Sarawak",https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1096-3642.1958.tb00583.x
Hirth,1,Chelonia_mydas,Endangered,,Hawke's beach,CM_19,between population,Pakistan,24.85889,66.861511,no,no,34,,34,50,65.44979167,,50,,108.5,,,,,,,,,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Minton 1966,,
Hirth,1,Chelonia_mydas,Endangered,,Aldabra Atoll,CM_20,between population,Seychelles,-9.451094,46.210776,yes,yes,27.5,,27.5,46.3,51.96862527,,50.1,28.2,110,,,3.184046906,,350.2451597,100.8,,112.2132176,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Gibson (1979),Green turtle (Chelonia mydas (L.)) nesting activity at Aldabra Atoll,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.1979.0033
Hirth,1,Chelonia_mydas,Endangered,,Europa Island,CM_22,between population,South Africa,-22.358336,40.329946,no,no,28.8,,28.8,44.7,46.76498775,47.9,50.9,26,147,,,3.18776519,,468.601483,108.9,,136.1326769,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Chelonia_mydas,Endangered,,Tromelin Island,CM_14,between population,Mauritius,-15.892353,54.523655,no,no,28.8,,28.8,44.6,46.45183039,48,48.6,23.9,124.6,,,3.185596085,,396.9252722,104.1,,121.6240634,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Chelonia_mydas,Endangered,,Sharma beach,CM_23,between population,South Yemen,28.035176,35.225215,no,no,31,,31,42.3,39.62956978,44.8,46.9,23,106,,,3.181701982,,337.2604101,96,,99.32778887,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Chelonia_mydas,Endangered,,,CM_25,between population,Surinam,5.86587,-56.199971,no,no,27,,27,45,47.71289813,,51,,138,,2.9,2.9,400.2,400.2,109,,136.4454098,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Schulz 1975,Sea turtle nesting in Surinam,https://www.repository.naturalis.nl/document/148843
Hirth,1,Chelonia_mydas,Endangered,,Ko Kram Island,CM_28,between population,Thailand,12.706225,100.772019,no,no,30,,30,,,,,,100,,,3.178602823,,317.8602823,90,,84.52768186,,has egg energy content but no egg size data,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Penyapol (1958),A prelimary study of the sea turtles in the Gulf of Thailand,http://www.siamese-heritage.org/nhbsspdf/vol011-020/NHBSS_017_f_Penyapol_APreliminaryStu.pdf
Hirth,1,Chelonia_mydas,Endangered,,French Frigate Shoals,CM_29,between population,USA,23.748769,-166.146109,yes,yes,27,,27,44,44.60220043,50,53,31,104,,1.8,1.8,187.2,187.2,92.2,,89.78834938,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Balax (1979),,PDF
Hirth,1,Chelonia_mydas,Endangered,,Aves Island,CM_30,between population,Venezuela,15.668414,-63.617965,no,no,28,,28,44.4,45.82971598,45.1,54.6,27,,,2.61,2.61,,,107.7,,132.4134019,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Rainey (1971),,
Hirth,1,Dermochelys_coriacea,Vulnerable,1954,Matina,DC_4,between population,Costa Rica,10.13616,-83.205441,no,no,30.5,,30.5,53.6,80.62925083,,62.8,,80.5,,,,,,,,,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Carr & Orgen (1959),The ecology and migrations of sea turtles. 3 Dermochelys in Coasta Rica,http://digitallibrary.amnh.org/bitstream/handle/2246/2498/N1958.pdf?sequence=1
Hirth,1,Dermochelys_coriacea,Vulnerable,,Playa Naranjo,DC_4,between population,Costa Rica,10.778655,-85.667971,no,no,28,,28,51,69.45584252,,55,,65.6,,,6.252701531,,410.1772204,141,,298.3037042,oss,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Cornelius (1976),"Marine turtle nesting activity at Playa Naranjo, Costa Rica",http://www.sidalc.net/cgi-bin/wxis.exe/?IsisScript=oet.xis&method=post&formato=2&cantidad=1&expresion=mfn=001691
Hirth,1,Dermochelys_coriacea,Vulnerable,,Silebache,DC_5,between population,Guyana,5.022333,-52.460967,no,no,29,,29,,,,65,,88.1,,,7.192708198,,633.6775922,157,,422.8519585,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Pritchard (1971)b,"The Leatherback Or Leathery Turtle, Dermochelys Coriacea","https://books.google.com.au/books?hl=en&lr=&id=QpUicldzNpAC&oi=fnd&pg=PA7&dq=.+The+leatherback+or+leath-+ery+turtle,+Dermochelys+coriac&ots=wzc2TIXaM4&sig=9BTrdjWSsR21TEMsaIiAvU1TFCA#v=onepage&q&f=false"
Hirth,1,Dermochelys_coriacea,Vulnerable,,Trengganu,DC_6,between population,Malaysia,5.814827,103.008233,no,no,31,,31,,,,57.3,38.2,83.5,,5.5,5.5,459.25,459.25,,,,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Balasingham & Pong (1972),,
Hirth,1,Dermochelys_coriacea,Vulnerable,,Tongaland,DC_10,between population,South Africa,-27.480455,32.687649,no,no,28.5,,28.5,53.1,78.39381843,,58.7,,103.7,,7.27,7.27,753.899,753.899,161.1,,459.7601422,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Hughes (1974),,
Hirth,1,Dermochelys_coriacea,Vulnerable,,,DC_11,between population,Sri Lanka,6.3306,80.0255,no,no,29,,29,52,73.62211445,,59,,110,,,6.601607228,,726.176795,147,,341.5130353,1980,book,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Pritchard (1971)b,"The Leatherback Or Leathery Turtle, Dermochelys Coriacea","https://books.google.com.au/books?hl=en&lr=&id=QpUicldzNpAC&oi=fnd&pg=PA7&dq=.+The+leatherback+or+leath-+ery+turtle,+Dermochelys+coriac&ots=wzc2TIXaM4&sig=9BTrdjWSsR21TEMsaIiAvU1TFCA#v=onepage&q&f=false"
Hirth,1,Dermochelys_coriacea,Vulnerable,,Bigi Santi,DC_12,between population,Surinam,5.86587,-56.199971,no,no,27,,27,53,77.95174907,,58.3,,85,,,7.192708198,,611.3801968,157,,422.8519585,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Schulz 1975,Sea turtle nesting in Surinam,https://www.repository.naturalis.nl/document/148843
Hirth,1,Dermochelys_coriacea,Vulnerable,,Matura Bay,DC_13,between population,Trinidad,10.641045,-61.032328,no,no,30,,30,57,96.96674615,,67,57.5,90,,,6.895684608,,620.6116147,152,,380.6807844,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Pritchard (1971)b,"The Leatherback Or Leathery Turtle, Dermochelys Coriacea",
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Tortuguero,EI_5,between population,Costa Rica,10.543741,-83.50193,no,no,28.8,,28.8,38.3,29.4167424,,42.4,,161.1,,2.1,2.1,338.31,338.31,83.1,,63.12091597,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Carr & Stancyk (1975),Observations on the ecology and survival outlook of the hawksbill turtle,https://www.sciencedirect.com/science/article/pii/0006320775900609
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Shelly Beach,EI_7,between population,Guyana,8.269029,-59.520264,no,no,27.7,,27.7,38,28.73088775,,,,158,,,2.213873237,,349.7919714,84.1,,64.6792241,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Pritchard (1969),,
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Palau Island,EI_11,between population,Micronesia,7.424234,134.462933,no,no,28,,28,34.5,21.50084561,23,41,13,104.5,,,,,,,,,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Fukada (1965),,
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Cousin Island,EI_16,between population,Seychelles,-4.333301,55.664388,no,no,26.8,,26.8,,,,,,182,,,2.241323408,,407.9208603,85.5,,66.89339529,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Diamond (1976),"Breeding biology and conservation of Hawksbill turtles, Eretmochelys imbricata L., on Cousin Island, Seychelles",https://www.sciencedirect.com/science/article/pii/0006320776900100
Hirth,1,Eretmochelys_imbricata,Critically endangered,,Jabal Azis Island,EI_18,between population,South Yemen,12.655438,44.963242,no,no,30,,30,40.5,34.78270273,,42,,81.2,,,1.920182366,,155.9188081,69.5,,43.84593592,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Playa Nancite,LO_5,between population,Costa Rica,10.853663,-85.836581,no,no,26,,26,,,,,,98,,,1.96180814,,192.2571977,63.3,,30.99707045,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Hughes & Richard (1974),"The nesting of the Pacific ridley turtle Lepidochelys olivacea on Playa Nancite, Costa Rica",https://link.springer.com/article/10.1007/BF00389343
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Playa Naranjo,LO_5,between population,Costa Rica,10.853663,-85.836581,no,no,28,,28,,,,,,105,,,2.020783018,,212.1822169,65.2,,32.68316072,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Cornelius (1976),"Marine turtle nesting activity at Playa Naranjo, Costa Rica",http://www.sidalc.net/cgi-bin/wxis.exe/?IsisScript=oet.xis&method=post&formato=2&cantidad=1&expresion=mfn=001691
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Coromandel coast,LO_7,between population,India,10.257173,79.335901,no,no,27.5,,27.5,,,,47.7,,114.7,,,2.076656336,,238.1924817,67,,34.3167837,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Lepidochelys_olivacea,Vulnerable,,"Playa ""La Escobilla""",LO_9,between population,Mexico,23.488056,-106.793594,no,no,34,,34,38.8,30.58393995,,40.3,,100,,,1.949392711,,194.9392711,62.9,,30.64713713,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Lepidochelys_olivacea,Vulnerable,,,LO_11,between population,Sri Lanka,6.988241,81.947477,no,no,29,,29,40.5,34.78270273,35.7,42.8,17,112.5,,,1.968015898,,221.4017885,63.5,,31.17269481,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Eilanti beach,LO_12,between population,Surinam,5.86587,-56.199971,no,no,27,,27,40,33.51029333,,42,,116,,1.42,1.42,164.72,164.72,68.5,,35.70494917,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Schulz 1975,Sea turtle nesting in Surinam,https://www.repository.naturalis.nl/document/148843
Hirth,1,Lepidochelys_olivacea,Vulnerable,,Honduras coast,LO_6,between population,Honduras,15.841884,-84.271435,no,no,27,,27,37.5,27.61163086,,,,95,,,,,,66.6,,33.95071697,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,NA,,
Buskirk,2,Caretta_caretta,Vulnerable,,Heron Island,CC_4,between population,Australia,-23.440877,151.915307,yes,yes,29,,29,40.4,34.52568873,36.5,43.3,20.9,127,,3.5,3.22272004,444.5,444.5,95.8,,104.6939751,1994,,Life-History Variation in Marine Turtles,,,https://www.jstor.org/stable/1446672?seq=1#metadata_info_tab_contents
Buskirk,2,Caretta_caretta,Vulnerable,,Cephalonia,CC_7,between population,Greece,38.059561,20.768163,no,no,25,,25,38.8,30.58393995,31.4,41.4,,102.3,,,2.671898863,,273.3352537,77,,67.78301304,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Kiparissia Bay,CC_7,between population,Greece,37.255514,21.656026,no,no,28,,28,,,,,,117.7,,,2.852519693,,335.7415679,83.1,,78.88789434,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Zakynthos,CC_7,between population,Greece,37.79393,20.90257,no,no,29,,29,37.5,27.61163086,,40.4,,100.2,,,2.772813519,,277.8359146,80.4,,73.86927963,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Sicily,CC_8,between population,Italy,36.956266,14.368952,no,no,27.2,,27.2,41.1,36.35161592,25.5,41.8,20.1,,,,,,,,,,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Quintana Roo,CM_10,between population,Mexico,19.983513,-87.449688,no,no,26.6,,26.6,,,,,,107.6,,,,,,,,,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Dalyankoy Beach,CC_13,between population,Turkey,38.361439,26.319304,no,no,30.5,,30.5,39,31.05932954,20.3,39.9,16.1,93,,,2.462096616,,228.9749853,70,,56.07243632,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Cape Lookout,CC_14,between population,USA,45.345554,-123.988522,no,no,32,,32,,,,,,119.5,,,3.127235443,,373.7046355,92.5,,97.63968619,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Everglades,CC_14,between population,USA,25.637219,-80.246666,no,no,28.6,,28.6,41,36.08692073,,,,100,,,3.112726255,,311.2726255,92,,96.59221011,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Kiwah Island,CC_14,between population,USA,32.602513,-80.058962,no,no,30,,30,42.1,39.07010182,,45.2,,122.3,,,3.162012205,,386.7140927,93.7,,100.1765596,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Little Cumberland Island,CC_14,between population,USA,30.974733,-81.407866,no,no,29,,29,42,38.79235332,,45,,119.8,,2.99,3.225606146,358.202,358.202,95.9,,104.9115625,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Melbourne Beach,CC_14,between population,USA,28.064194,-80.552224,no,no,27,,27,,,,,,113.5,,,3.112726255,,353.2944299,92,,96.59221011,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Merritt Island,CC_14,between population,USA,28.320129,-80.655589,no,no,29,,29,42.2,39.34917292,41.8,45.8,21,110,,,3.121433107,,343.3576418,92.3,,97.22002129,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Sanibel Island,CC_14,between population,USA,26.441439,-82.137684,no,no,31,,31,41.1,36.35161592,,46.7,19.6,108,,,3.06622123,,331.1518928,90.4,,93.27805966,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Caretta_caretta,Vulnerable,,Topsail Island,CC_14,between population,USA,34.467027,-77.469421,no,no,26,,26,,,,,,128.4,,,,,,,,,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Mayotte Island,CM_14,between population,Mayotte,-12.807446,45.094615,no,no,27,,27,44.7,46.76498775,53,,,121.6,,,3.188597882,,,110.8,,142.1484361,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Moheli Island,CM_5,between population,Comoros,-12.366242,43.735219,no,no,26,,26,43.8,43.99674901,,49.2,22.7,122.4,,,3.189245396,,,112.3,,147.0083746,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Playa Naranjo,CM_6,between population,Costa Rica,10.778233,-85.667499,no,no,28,,28,,,,51.2,,87,,,3.174661143,,,82.9,,68.83019684,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Shell Beach,CM_8,between population,Guyana,8.27216,-59.525315,no,no,27.7,,27.7,47,54.36154976,,,,122,,,3.185503581,,,103.9,,121.0407355,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Ogasawara,CM_11,between population,Japan,27.102676,142.179613,no,no,27,,27,46,50.96496737,,,,110.7,,,,,,,,,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,El Cuyo,CM_15,between population,Mexico,21.519228,-87.677049,no,no,28,,28,,,,51.4,,113,,,3.18736575,,,108,,133.3374281,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Michoacan,CM_15,between population,Mexico,18.167014,-102.993004,no,no,28,,28,,,,,,64,,2.2,2.2,140.8,140.8,77,,57.22944024,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Quintana Roo,CM_15,between population,Mexico,18.733038,-87.670901,no,no,26.6,,26.6,,,,,,116,,,,,,,,,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Primerias Island,CM_16,between population,Mozambique,-16.753773,39.4084,no,no,30,,30,43.8,43.99674901,44.9,,,115,,,,,,,,,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Masirah Island,CM_18,between population,Oman,20.339577,58.810988,no,no,34,,34,,,,,,97,,,3.180280184,,308.4871778,93.2,,92.2427976,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Ras al hadd,CM_18,between population,Oman,22.521825,59.80031,no,no,30,,30,,,,,,103.5,,,3.1822494,,329.3628129,97.1,,102.1976148,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Europa Island,CM_22,between population,South Africa,-22.38721,40.336837,no,no,28.8,,28.8,43.5,43.09888416,46.9,50.4,25.2,141.2,,,3.187676707,,450.0999511,108.7,,135.5085023,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Bigi Santi,CM_25,between population,Surinam,5.86587,-56.199971,no,no,31,,31,45,47.71289813,,51,,138,,2.96,2.96,408.48,408.48,109,,136.4454098,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Maziwi Island,CM_27,between population,Tanzania,-5.500129,39.066668,no,yes,31,,31,42.5,40.19435331,,48,25,138,,,3.189502019,,440.1512787,112.9,,148.9798525,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Melbourne Beach,CM_29,between population,USA,28.064194,-80.552224,no,no,27,,27,,,,,,134,,3.6,3.6,482.4,482.4,101.5,,114.171522,1994,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Chelonia_mydas,Endangered,,Ascension Island,CM_1,between population,Ascension Island,-7.909956,-14.339189,no,no,28,,28,54.6,85.22680024,,51.7,,121.4,,3,3,364.2,364.2,109.8,,138.9627933,1994,,Life-History Variation in Marine Turtles,Carr et al (1974),"Internesting Behavior of the Green Turtle, Chelonia mydas, at a Mid-Ocean Island Breeding Ground",https://www.jstor.org/stable/1442684
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Wreck Rock,DC_1,between population,Australia,-24.310483,151.966758,yes,yes,31,,31,53.2,78.83755598,81.95,58.8,46.9,92.8,,,7.516727133,,697.5522779,162.4,,471.912825,,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Playa Langosta,DC_4,between population,Costa Rica,10.290045,-85.853219,no,no,29,,29,,,,,,64,,,6.718880274,,430.0083376,149,,356.8275932,,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Oaxaca,DC_7,between population,Mexico,15.879148,-97.145819,no,no,28,,28,53,77.95174907,66,,,60.1,,,6.777696306,,407.339548,150,,364.6601621,,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,Culebra Island,DC_9,between population,Puerto Rico,18.332679,-65.297324,no,yes,30.5,,30.5,53.8,81.53518904,,59.3,,75.1,,6.61,6.61,496.411,496.411,147,,341.5130353,,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,,DC_11,between population,Sri Lanka,6.335702,81.598571,no,no,29,,29,52.5,75.76631508,72,59,33.1,97,,,6.866143174,,666.0158879,151.5,,376.6308862,,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Dermochelys_coriacea,Vulnerable,,St Croix,DC_14,between population,US Virgin Islands,17.678941,-64.857291,no,yes,27.7,,27.7,,,84,,46.1,79.67,,5.28,5.28,420.6576,420.6576,153.6,,393.8428903,,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Pasture Bay Beach,EI_1,between population,Antigua,17.174263,-61.815659,no,yes,,29,29,,,,,,150.6,,4.52,4.52,680.712,680.712,,,,,,Life-History Variation in Marine Turtles,,,
Buskirk,2,Eretmochelys_imbricata,Critically endangered,,Campbell Island,EI_2,between population,Australia,-9.567155,143.492875,no,no,29,,29,36,24.42900384,26,41.1,14.3,131.8,,3,3,395.4,395.4,83.2,,63.27587549,,,Life-History Variation in Marine Turtles,,,
